GR,SP,CALX,RHOB,NPSS,ILD,ILM,SFL,DT,Binned_FZI_PS
19.8,-107.228,192.75,2200.176,0.331,49.066,49.966,55.122,311.102,4
18.225,-107.03,192.75,2194.207,0.328,45.397,46.226,48.145,326.344,4
16.65,-107.03,192.25,2198.277,0.32,42.221,42.988,46.617,332.309,4
17.595,-107.327,192.5,2226.523,0.313,39.276,40,46.589,331.361,4
17.272,-106.836,192.5,2249.902,0.303,36.333,37.002,43.923,324.968,2
17.1,-105.851,192.5,2254.211,0.299,35.173,35.821,42.556,323.088,4
19.02,-103.279,193.75,2261.867,0.297,33.573,34.506,40.296,323.621,4
21.21,-100.497,194.5,2264.27,0.296,32.206,34.489,38.484,323.395,1
26.062,-93.762,195,2265.672,0.29,28.337,34.616,37.24,318.371,4
30.87,-87.03,195,2263.709,0.276,24.292,34.428,43.239,290.814,4
34.642,-82.376,194.997,2272.311,0.262,20.09,21.689,56.281,252.525,4
36.27,-80.495,195.493,2281.875,0.255,18.661,19.097,46.912,236.996,4
41.13,-72.9,198.24,2470.695,0.26,14.88,15.157,13.195,235.449,1
50.25,-69.802,198.487,2494.531,0.301,12.255,12.483,11.647,274.027,2
53.077,-67.723,197.727,2486.957,0.312,11.019,11.225,13.883,282.608,3
53.925,-66.04,197.475,2480.664,0.312,10.817,11.019,13.256,285.114,4
53.76,-59.109,199.495,2470.375,0.306,9.954,10.14,10.473,289.287,2
61.312,-58.614,200,2449.928,0.33,9.509,10,11.225,291.657,4
85.65,-55.149,199.747,2426.516,0.338,9.509,9.909,10.233,300.521,1
57.12,-57.129,201,2435.582,0.364,8.498,9.193,10.599,301.758,2
62.242,-55.644,201.75,2433.631,0.383,7.963,8.109,8.919,312.339,2
59.88,-54.455,205.25,2409.813,0.344,7.364,7.501,9.729,306.131,3
68.94,-51.782,211.268,2441.656,0.381,5.784,5.891,6.435,311.516,1
36.2,15.714,212.715,2404.225,0.264,4.561,4.696,5.988,315.573,3
35.244,13.199,210.02,2408.78,0.26,4.844,4.927,6.321,319.955,2
38.214,6.532,205.441,2388.33,0.266,5.649,5.538,6.415,331.463,3
45.951,-3.84,203.796,2348.36,0.299,5.995,6.312,6.93,337.509,3
46.425,-8.445,204.104,2330.47,0.297,6.234,6.687,7.26,333.708,2
47.148,-13.016,204.425,2316.935,0.291,6.664,7.046,7.549,328.965,3
49.679,-20.041,204.426,2347.25,0.294,7.388,7.427,7.901,319.543,2
54.101,-14.328,203.979,2375.1,0.289,7.771,7.699,8.057,313.457,1
59.864,-16.685,202.574,2382.965,0.255,8.298,8.136,8.602,305.417,2
62.176,-24.616,200.816,2382.245,0.248,8.96,8.815,9.956,304.237,2
62.161,-27.132,199.869,2358.49,0.266,9.471,9.308,10.991,306.16,3
60.509,-25.958,200.187,2358.9,0.277,9.826,9.533,11.112,307.082,3
58.576,-17.458,202.616,2368.09,0.286,10.189,9.814,10.503,305.532,4
56.808,-8.729,205.39,2353.405,0.296,10.829,11.471,11.997,301.66,2
52.936,-2.91,205.799,2327.26,0.294,11.671,14.043,14.608,307.748,4
36.118,-14.967,196.883,2252.93,0.272,16.155,21.223,20.73,331.671,3
35.659,-14.115,197.151,2254.82,0.267,14.644,19.345,19.368,330.368,4
35.699,-12.582,197.368,2256.77,0.268,13.611,16.785,16.476,325.809,3
59.85,-39.3,194.75,2366.438,0.325,3.48,3.545,3.513,298.975,2
59.1,-40.404,194.75,2375.439,0.328,3.854,3.926,4.677,302.153,2
64.158,-42.626,202.97,2348.773,0.353,4.471,4.554,3.731,316.101,1
58.35,-47.374,199.663,2405.086,0.352,5.378,5.477,5.023,300.244,2
52.8,-48.081,199.587,2394.158,0.331,5.973,6.085,7.466,300.344,2
62.952,-52.277,202.75,2401.422,0.351,7.535,7.675,5.838,281.575,1
62.331,-59.01,201.75,2408.285,0.349,8.347,8.586,7.963,277.489,1
62.593,-64.752,203.5,2401.605,0.343,10.046,10.232,9.209,273.752,1
67.35,-73.3,198.515,2338.609,0.317,13.292,13.539,12.238,272.085,1
55.099,-88.317,196.04,2304.293,0.295,15.396,15.115,21.729,305.157,2
54.937,-73.8,197.277,2348.811,0.307,15.911,14.513,11.909,285.004,1
51.637,-77,197.525,2364.828,0.278,15.925,14.862,16.148,277.608,4
48.466,-77.4,197.525,2351.734,0.245,16.312,16.693,24.591,276.329,1
35.123,-79.2,198.254,2216.984,0.301,20.092,20.372,19.363,313.294,2
101.061,-52.6,197.75,2350.555,0.332,9.13,9.262,8.036,308.064,3
101.818,-53.4,197.25,2349.359,0.344,8.183,8.146,8.036,314.444,2
