UWI,FM_TOP,DEPTH,GR,SP,CALX,RHOB,DPSS,NPSS,ILD,ILM,SFL,DT,Binned_FZI_PS
100131200505W400,SBRS,1116.4,52.40,-64.95,,2268.14,0.23,0.31,14.80,16.36,30.00,289.79,4
100131200505W400,SBRS,1116.5,49.15,-64.95,,2289.65,0.21,0.30,15.35,16.97,29.32,286.71,4
100131200505W400,SBRS,1116.7,44.57,-63.75,,2324.92,0.18,0.29,15.85,17.28,26.25,282.68,3
100131200505W400,SBRS,1116.8,43.25,-63.00,,2346.22,0.17,0.28,15.85,17.13,24.38,281.72,3
100131200505W400,SBRS,1117.1,45.08,-60.75,,2414.56,0.14,0.28,15.64,16.36,16.51,291.74,3
100131200505W400,SBRS,1117.2,45.57,-60.90,,2418.53,0.14,0.29,15.35,16.36,16.36,294.05,2
100131200505W400,SBRS,1117.3,45.83,-61.20,,2427.45,0.17,0.30,15.21,16.36,16.97,292.94,2
100131200505W400,SBRS,1117.4,46.10,-61.80,,2384.24,0.18,0.31,15.14,16.36,19.20,291.83,4
100131200505W400,SBRS,1117.5,46.85,-62.55,,2354.75,0.19,0.31,15.21,16.36,21.14,290.72,4
100131200505W400,SBRS,1117.9,52.02,-63.30,,2432.46,0.13,0.29,15.42,16.36,17.28,289.53,3
100131200505W400,SBRS,1118.0,54.05,-64.35,,2430.99,0.13,0.30,15.49,16.36,16.51,291.03,3
100131200505W400,SBRS,1118.1,54.31,-66.00,,2402.78,0.16,0.30,15.49,16.36,18.34,291.82,4
100131200505W400,SBRS,1118.2,54.57,-67.35,,2374.32,0.18,0.30,15.49,16.36,20.28,292.61,3
100131200505W400,SBRS,1118.3,52.48,-68.55,,2353.83,0.18,0.29,15.49,16.36,22.03,292.51,3
100131200505W400,SBRS,1118.4,50.39,-68.85,,2353.84,0.19,0.29,15.35,16.22,24.16,292.41,4
100131200505W400,SBRS,1118.5,48.76,-68.85,,2363.35,0.18,0.30,15.21,16.07,25.18,291.43,1
100131200505W400,SBRS,1118.8,46.22,-65.25,,2413.24,0.15,0.30,14.80,15.64,19.73,288.33,1
100131200505W400,SBRS,1119.3,55.21,-56.96,,2421.22,0.15,0.33,14.02,14.68,15.15,293.10,1
100131200505W400,SBRS,1119.5,57.89,-55.73,,2400.44,0.16,0.33,13.84,14.49,14.29,296.72,4
100131200505W400,SBRS,1119.6,59.18,-55.72,,2387.96,0.17,0.33,13.84,14.49,14.16,298.54,1
100112700505W400,SBRS,1088.6,33.18,-7.29,204.88,2284.67,0.22,0.28,23.11,29.31,24.29,291.84,4
100112700505W400,SBRS,1088.8,33.01,-7.31,203.13,2280.23,0.22,0.27,23.15,27.86,24.31,292.39,4
100112700505W400,SBRS,1089.0,33.03,-7.11,202.88,2284.08,0.22,0.27,22.65,26.89,23.11,292.41,3
100112700505W400,SBRS,1089.6,35.49,-8.38,205.13,2310.34,0.21,0.27,21.39,22.46,20.43,284.78,5
100112700505W400,SBRS,1090.0,35.23,-11.53,199.63,2332.41,0.19,0.26,19.78,19.80,18.58,281.19,5
100112700505W400,SBRS,1090.2,31.80,-12.17,199.33,2329.02,0.20,0.27,19.46,19.42,18.70,284.34,4
100112700505W400,SBRS,1090.4,28.72,-11.44,199.43,2315.66,0.20,0.28,18.96,19.08,19.51,290.43,5
100112700505W400,SBRS,1091.1,33.44,-9.47,198.51,2290.38,0.22,0.28,20.09,20.09,19.43,303.41,5
100112700505W400,SBRS,1091.6,35.79,-11.81,196.68,2261.77,0.24,0.28,20.87,21.00,20.32,311.30,4
100112700505W400,SBRS,1092.0,31.89,-12.18,196.58,2284.88,0.22,0.29,21.08,21.03,19.37,307.62,6
100112700505W400,SBRS,1092.6,38.00,-13.97,196.48,2302.45,0.21,0.27,20.33,20.40,18.82,300.48,3
100112700505W400,SBRS,1093.6,38.01,-11.79,198.58,2303.20,0.21,0.27,19.28,18.83,17.89,302.39,4
100112700505W400,SBRS,1094.0,36.91,-12.32,199.33,2312.43,0.20,0.27,18.60,18.41,17.63,305.84,3
100112700505W400,SBRS,1094.2,35.78,-12.11,198.35,2313.42,0.20,0.27,18.22,17.76,17.26,306.44,3
100112700505W400,SWFT,1094.8,62.58,-9.76,199.68,2358.09,0.17,0.27,14.80,13.38,14.65,305.06,2
100112700505W400,SWFT,1095.1,69.16,-7.21,199.23,2409.75,0.14,0.29,13.86,14.18,13.00,299.92,3
100112700505W400,SWFT,1096.3,90.58,11.52,202.35,2415.28,0.14,0.30,12.06,11.93,11.16,294.41,2
100112700505W400,SWFT,1096.5,105.95,16.32,203.06,2405.57,0.15,0.30,12.14,12.27,11.36,294.81,3
100112700505W400,SWFT,1096.7,108.30,20.63,203.29,2398.81,0.15,0.31,12.30,12.45,11.65,295.25,3
100112700505W400,SWFT,1096.9,98.61,22.43,202.55,2397.54,0.15,0.32,12.17,14.59,11.89,295.27,3
100102700505W400,SBRS,1097.0,46.61,47.68,197.93,2390.40,0.16,0.23,4.17,5.56,5.23,234.48,3
100102700505W400,SBRS,1097.2,47.78,34.09,197.58,2428.86,0.14,0.21,6.66,8.78,10.77,235.06,3
100102700505W400,SBRS,1097.4,45.95,23.92,196.35,2449.38,0.13,0.21,10.69,12.84,16.40,238.10,3
100102700505W400,SBRS,1097.7,46.26,15.16,196.02,2461.07,0.12,0.20,17.60,19.43,19.24,243.23,3
100102700505W400,SBRS,1097.9,43.55,13.58,195.60,2442.31,0.13,0.19,18.94,20.88,17.73,245.18,2
100102700505W400,SBRS,1098.1,37.74,12.79,196.16,2418.23,0.14,0.20,18.58,20.94,16.63,245.56,2
100102700505W400,SBRS,1098.4,33.86,10.99,194.99,2401.33,0.15,0.22,17.69,19.64,18.47,251.10,2
100102700505W400,SBRS,1098.6,38.92,11.37,196.09,2349.11,0.18,0.21,17.50,17.62,22.02,255.20,5
100102700505W400,SBRS,1098.7,41.27,11.28,196.63,2345.54,0.18,0.21,17.24,16.60,20.68,256.92,2
100102700505W400,SBRS,1099.0,47.36,13.70,197.58,2422.98,0.14,0.25,15.76,14.54,13.39,255.68,2
100102700505W400,SBRS,1099.2,47.39,18.16,197.37,2471.97,0.11,0.26,14.53,14.03,11.85,256.26,1
100102700505W400,SBRS,1099.4,44.90,19.91,197.98,2481.61,0.10,0.25,13.58,13.82,12.58,261.31,1
100102700505W400,SBRS,1099.6,44.73,19.31,196.90,2474.58,0.11,0.25,13.33,13.91,14.58,264.67,2
100102700505W400,SBRS,1099.8,43.66,19.19,197.03,2458.46,0.12,0.23,14.54,15.12,13.73,259.11,2
100102700505W400,SBRS,1100.0,38.44,14.60,196.23,2418.50,0.14,0.21,17.26,18.26,13.95,246.68,2
100102700505W400,SBRS,1100.1,33.22,12.50,196.49,2401.00,0.15,0.21,18.66,20.18,15.26,241.11,1
100102700505W400,SBRS,1100.2,28.33,10.58,196.55,2374.46,0.16,0.19,21.01,23.38,19.66,237.32,3
100102700505W400,SBRS,1100.4,21.17,8.79,196.50,2339.68,0.18,0.18,26.43,30.37,39.07,242.02,5
100102700505W400,SBRS,1100.6,21.29,7.63,197.04,2311.37,0.21,0.19,36.01,39.70,70.34,260.84,5
100102700505W400,SBRS,1100.8,25.27,6.27,197.31,2305.23,0.21,0.22,53.35,52.30,78.11,283.61,5
100102700505W400,SBRS,1101.0,29.99,5.35,196.90,2271.03,0.24,0.24,68.59,60.51,73.90,303.20,2
100102700505W400,SBRS,1101.3,37.47,4.91,196.21,2208.26,0.27,0.24,69.21,56.67,60.50,283.91,4
100102700505W400,SBRS,1101.7,51.44,3.77,200.17,2282.40,0.23,0.21,63.04,46.28,42.01,252.90,4
100102700505W400,SBRS,1102.0,50.19,2.57,199.98,2337.32,0.19,0.21,57.47,43.59,41.06,259.16,2
100102700505W400,SBRS,1102.5,44.97,1.73,199.63,2319.93,0.21,0.23,29.20,27.18,44.90,288.28,3
100102700505W400,SBRS,1102.8,72.50,-1.66,200.57,2296.40,0.22,0.24,21.48,16.62,39.29,288.36,3
100102700505W400,SBRS,1103.1,63.19,-11.19,200.37,2327.72,0.20,0.23,19.69,15.39,14.20,246.75,1
100102700505W400,SBRS,1103.3,50.93,-16.08,200.30,2380.57,0.16,0.21,19.02,17.24,12.90,243.76,2
100102700505W400,SBRS,1103.6,44.79,-12.28,200.24,2410.38,0.16,0.22,19.66,19.84,34.73,265.96,4
100102700505W400,SBRS,1104.0,30.72,0.77,198.95,2293.07,0.23,0.25,33.97,32.20,35.21,272.88,4
100102700505W400,SBRS,1104.3,27.95,4.91,198.20,2262.53,0.24,0.26,50.93,41.38,48.57,284.54,3
100102700505W400,SBRS,1104.6,24.03,8.72,198.75,2250.85,0.25,0.23,58.25,43.27,45.42,291.05,3
100102700505W400,SBRS,1104.8,24.22,11.48,197.84,2241.79,0.25,0.25,57.94,42.11,37.50,296.26,4
100102700505W400,SBRS,1105.6,47.99,23.22,197.93,2293.38,0.22,0.25,30.93,24.32,28.30,274.26,5
100102700505W400,SBRS,1105.9,44.82,27.28,199.21,2367.60,0.17,0.23,22.98,19.88,17.73,275.21,4
100102700505W400,SWFT,1106.1,49.52,24.68,199.21,2417.95,0.14,0.24,18.60,16.93,16.92,280.78,4
100102700505W400,SWFT,1106.5,57.20,29.03,199.28,2404.20,0.15,0.28,15.07,12.93,13.06,289.04,3
100102700505W400,SWFT,1106.7,44.82,33.93,199.98,2398.59,0.16,0.28,14.78,13.55,10.25,288.89,4
100102700505W400,SWFT,1107.1,37.62,31.39,199.83,2382.71,0.17,0.29,14.22,14.30,15.71,289.28,4
100102700505W400,SWFT,1107.4,45.81,35.54,199.70,2379.16,0.17,0.26,14.53,14.22,15.25,284.66,4
100102700505W400,SWFT,1107.7,58.85,37.94,199.98,2411.51,0.15,0.26,14.73,13.58,13.40,283.36,5
100102700505W400,SWFT,1108.0,85.21,39.55,199.28,2420.27,0.14,0.28,13.99,12.85,12.16,285.24,4
100102700505W400,SWFT,1108.3,107.48,45.64,199.63,2423.39,0.14,0.28,13.17,12.40,11.53,289.18,3
100102700505W400,SWFT,1110.6,55.73,40.89,200.24,2386.76,0.16,0.30,11.73,11.68,13.66,296.89,3
100102700505W400,SWFT,1111.5,44.83,42.38,199.98,2362.89,0.18,0.29,12.29,12.33,10.28,300.40,4
100102700505W400,SWFT,1112.4,35.66,37.55,199.76,2319.40,0.20,0.27,14.74,14.20,11.26,292.50,4
100102300505W400,SBRS,1109.2,49.99,-16.49,193.88,2414.00,0.12,0.30,5.39,6.36,5.72,293.10,2
100102300505W400,SBRS,1109.4,44.66,-17.02,193.88,2460.00,0.15,0.23,6.38,7.82,8.82,266.07,2
100102300505W400,SBRS,1109.6,35.39,-22.02,193.88,2514.00,0.07,0.18,8.13,9.50,29.31,248.38,2
100102300505W400,SBRS,1110.0,25.49,-32.04,192.25,2450.00,0.12,0.21,8.44,7.56,10.27,266.10,2
100102300505W400,SBRS,1110.2,25.84,-48.29,189.25,2356.00,0.17,0.27,7.93,7.52,5.09,285.79,2
100102300505W400,SBRS,1110.4,30.13,-55.29,189.25,2328.00,0.19,0.30,7.89,7.83,6.81,306.95,3
100102300505W400,SBRS,1110.6,33.93,-59.04,189.25,2322.00,0.20,0.29,7.98,8.10,9.41,301.35,1
