GR,SP,RHOB,DPSS ,NPSS,ILD,ILM,SFL,Binned_FZI_PS
56.81,-8.73,2353.41,0.17,0.30,10.83,11.47,12.00,2
52.94,-2.91,2327.26,0.18,0.29,11.67,14.04,14.61,4
36.12,-14.97,2252.93,0.24,0.27,16.16,21.22,20.73,3
35.66,-14.12,2254.82,0.24,0.27,14.64,19.35,19.37,4
35.70,-12.58,2256.77,0.24,0.27,13.61,16.79,16.48,3
59.85,-39.30,2366.44,0.18,0.33,3.48,3.55,3.51,2
59.10,-40.40,2375.44,0.13,0.33,3.85,3.93,4.68,2
64.16,-42.63,2348.77,0.18,0.35,4.47,4.55,3.73,1
58.35,-47.37,2405.09,0.17,0.35,5.38,5.48,5.02,2
52.80,-48.08,2394.16,0.14,0.33,5.97,6.09,7.47,2
62.95,-52.28,2401.42,0.16,0.35,7.54,7.68,5.84,1
62.33,-59.01,2408.29,0.15,0.35,8.35,8.59,7.96,1
62.59,-64.75,2401.61,0.14,0.34,10.05,10.23,9.21,1
67.35,-73.30,2338.61,0.16,0.32,13.29,13.54,12.24,1
55.10,-88.32,2304.29,0.20,0.30,15.40,15.12,21.73,2
54.94,-73.80,2348.81,0.21,0.31,15.91,14.51,11.91,1
51.64,-77.00,2364.83,0.19,0.28,15.93,14.86,16.15,4
48.47,-77.40,2351.73,0.17,0.25,16.31,16.69,24.59,1
35.12,-79.20,2216.98,0.25,0.30,20.09,20.37,19.36,2
101.06,-52.60,2350.56,0.18,0.33,9.13,9.26,8.04,3
101.82,-53.40,2349.36,0.18,0.34,8.18,8.15,8.04,2
91.67,-55.30,2352.11,0.18,0.34,8.04,7.40,8.22,2
94.60,-56.92,2338.29,0.20,0.34,7.85,7.50,8.00,4
90.61,-57.53,2349.54,0.18,0.33,7.96,7.47,8.33,2
