GR,SP,CALX,RHOB,NPSS,ILD,FZI_CALC
71.6,-54.83,215.63,2318.55,0.27,17.43,1.71
73.49,-53.68,215.63,2332.4,0.27,17.28,1.76
75.39,-52.42,215.89,2348.8,0.27,17.22,1.91
56.9,-52.59,215.76,2398.41,0.28,17.57,1.57
53.99,-57.78,215.38,2374.57,0.27,18.23,0.76
53.99,-59.48,215.38,2364.68,0.27,18.49,0.7
53.99,-60.09,215.5,2357.47,0.28,18.74,0.58
55.39,-60.41,215.63,2350.77,0.28,18.98,0.91
56.79,-60.42,215.63,2344.74,0.28,19.23,0.87
62.69,-60.38,215.63,2339.0,0.29,19.79,1.26
62.94,-60.16,215.63,2339.58,0.29,20.11,1.59
63.2,-59.53,215.89,2342.21,0.29,20.16,1.9
63.09,-57.51,216.65,2349.03,0.29,20.06,1.0
63.59,-55.44,217.28,2364.7,0.29,19.79,1.24
64.29,-54.66,217.4,2376.59,0.29,19.67,0.99
60.4,-45.13,218.43,2391.62,0.28,16.9,2.29
60.65,-47.9,217.68,2368.83,0.3,16.74,1.62
57.69,-51.13,219.2,2356.74,0.29,15.47,1.27
59.39,-51.21,218.44,2369.2,0.28,15.16,1.79
63.04,-51.07,217.68,2385.32,0.28,14.85,1.09
66.69,-50.63,217.54,2402.14,0.28,14.58,0.75
80.6,-48.69,217.4,2421.97,0.3,13.6,0.84
84.89,-45.4,217.28,2428.95,0.32,12.57,1.75
21.28,-105.64,193.25,2264.47,0.2,28.94,0.72
21.02,-107.43,191.75,2261.55,0.22,24.94,0.13
21.83,-107.92,191.5,2258.25,0.23,23.73,1.16
23.97,-108.42,191.5,2260.3,0.24,21.59,2.91
25.29,-108.32,191.75,2265.65,0.25,20.83,3.06
27.35,-107.03,192.0,2279.71,0.26,19.54,0.79
28.07,-105.45,192.75,2300.65,0.26,19.01,2.71
29.59,-100.1,193.75,2342.95,0.25,18.4,2.36
31.62,-93.21,194.25,2364.36,0.25,17.65,0.34
34.39,-88.32,194.25,2360.32,0.25,17.57,0.18
37.91,-82.98,194.5,2357.01,0.26,18.23,0.36
41.42,-79.01,196.5,2392.08,0.27,18.58,0.59
44.39,-78.31,198.75,2449.69,0.3,20.09,4.26
46.4,-81.6,199.5,2479.75,0.31,22.28,0.24
42.46,-94.26,193.0,2449.74,0.34,32.8,4.59
29.82,-101.19,190.5,2311.93,0.3,57.07,2.38
30.39,-102.97,191.25,2297.57,0.31,57.33,1.61
30.42,-104.36,192.0,2280.3,0.33,57.82,1.87
29.78,-105.35,192.5,2261.75,0.32,58.56,1.72
29.46,-106.14,192.5,2245.55,0.32,58.0,3.17
29.18,-106.83,192.5,2256.53,0.33,57.18,1.81
27.45,-107.23,192.5,2260.08,0.33,54.66,1.06
19.8,-107.23,192.75,2200.18,0.33,49.07,2.85
18.23,-107.03,192.75,2194.21,0.33,45.4,3.23
16.65,-107.03,192.25,2198.28,0.32,42.22,3.08
17.6,-107.33,192.5,2226.52,0.31,39.28,2.67
17.27,-106.84,192.5,2249.9,0.3,36.33,0.94
17.1,-105.85,192.5,2254.21,0.3,35.17,2.58
19.02,-103.28,193.75,2261.87,0.3,33.57,2.75
21.21,-100.5,194.5,2264.27,0.3,32.21,0.19
26.06,-93.76,195.0,2265.67,0.29,28.34,3.01
30.87,-87.03,195.0,2263.71,0.28,24.29,3.5
34.64,-82.38,195.0,2272.31,0.26,20.09,3.98
36.27,-80.5,195.49,2281.88,0.26,18.66,3.97
41.13,-72.9,198.24,2470.7,0.26,14.88,0.42
50.25,-69.8,198.49,2494.53,0.3,12.26,0.95
53.08,-67.72,197.73,2486.96,0.31,11.02,1.88
53.93,-66.04,197.48,2480.66,0.31,10.82,3.52
53.76,-59.11,199.5,2470.38,0.31,9.95,0.5
61.31,-58.61,200.0,2449.93,0.33,9.51,2.46
85.65,-55.15,199.75,2426.52,0.34,9.51,0.38
57.12,-57.13,201.0,2435.58,0.36,8.5,0.55
62.24,-55.64,201.75,2433.63,0.38,7.96,0.72
59.88,-54.46,205.25,2409.81,0.34,7.36,1.34
68.94,-51.78,211.27,2441.66,0.38,5.78,0.44
36.2,15.71,212.72,2404.23,0.26,4.56,1.64
35.24,13.2,210.02,2408.78,0.26,4.84,0.65
38.21,6.53,205.44,2388.33,0.27,5.65,1.07
45.95,-3.84,203.8,2348.36,0.3,6.0,1.07
46.43,-8.45,204.1,2330.47,0.3,6.23,0.98
47.15,-13.02,204.43,2316.94,0.29,6.66,1.19
49.68,-20.04,204.43,2347.25,0.29,7.39,0.91
54.1,-14.33,203.98,2375.1,0.29,7.77,0.35
59.86,-16.69,202.57,2382.97,0.26,8.3,0.81
62.18,-24.62,200.82,2382.25,0.25,8.96,0.71
62.16,-27.13,199.87,2358.49,0.27,9.47,1.36
60.51,-25.96,200.19,2358.9,0.28,9.83,1.77
58.58,-17.46,202.62,2368.09,0.29,10.19,2.12
56.81,-8.73,205.39,2353.41,0.3,10.83,0.77
52.94,-2.91,205.8,2327.26,0.29,11.67,2.28
36.12,-14.97,196.88,2252.93,0.27,16.16,1.53
35.66,-14.12,197.15,2254.82,0.27,14.64,3.32
35.7,-12.58,197.37,2256.77,0.27,13.61,1.97
59.85,-39.3,194.75,2366.44,0.33,3.48,0.73
59.1,-40.4,194.75,2375.44,0.33,3.85,0.59
64.16,-42.63,202.97,2348.77,0.35,4.47,0.42
58.35,-47.37,199.66,2405.09,0.35,5.38,0.6
52.8,-48.08,199.59,2394.16,0.33,5.97,0.8
62.95,-52.28,202.75,2401.42,0.35,7.54,0.38
62.33,-59.01,201.75,2408.29,0.35,8.35,0.23
62.59,-64.75,203.5,2401.61,0.34,10.05,0.24
67.35,-73.3,198.52,2338.61,0.32,13.29,0.22
55.1,-88.32,196.04,2304.29,0.3,15.4,0.9
54.94,-73.8,197.28,2348.81,0.31,15.91,0.36
51.64,-77.0,197.53,2364.83,0.28,15.93,2.19
48.47,-77.4,197.53,2351.73,0.25,16.31,0.41
35.12,-79.2,198.25,2216.98,0.3,20.09,0.82
101.06,-52.6,197.75,2350.56,0.33,9.13,1.13
101.82,-53.4,197.25,2349.36,0.34,8.18,0.98
91.67,-55.3,194.75,2352.11,0.34,8.04,0.69
94.6,-56.92,194.37,2338.29,0.34,7.85,2.12
90.61,-57.53,194.8,2349.54,0.33,7.96,0.96
32.85,-65.1,194.13,2394.67,0.2,18.4,4.56
29.55,-67.1,194.88,2301.58,0.17,20.83,4.84
44.69,-64.9,195.0,2429.0,0.25,15.05,2.64
40.3,-59.9,196.38,2378.66,0.29,13.44,0.94
40.91,-62.7,192.5,2321.44,0.28,14.27,2.09
41.67,-65.1,194.5,2332.87,0.29,15.73,2.49
45.15,-66.2,193.23,2328.86,0.29,16.94,2.47
44.55,-66.8,194.38,2310.44,0.3,17.98,2.11
45.15,-68.7,194.43,2278.0,0.31,19.36,2.69
48.9,-70.5,194.55,2299.5,0.31,20.66,2.03
50.1,-72.48,194.6,2320.35,0.28,19.54,1.93
45.75,-73.37,194.5,2280.0,0.3,17.48,1.7
46.95,-73.78,195.25,2307.93,0.29,16.14,1.57
50.1,-72.7,195.13,2279.5,0.29,15.19,1.89
61.78,-63.35,201.13,2286.16,0.24,22.47,1.4
59.25,-65.65,201.12,2274.28,0.24,23.25,1.98
55.8,-68.32,201.09,2263.72,0.24,24.32,3.03
46.8,-73.29,201.03,2250.68,0.24,27.03,2.42
43.07,-74.21,201.03,2251.14,0.24,27.87,2.2
38.47,-75.33,200.99,2256.4,0.24,29.34,1.49
36.98,-76.42,200.85,2257.56,0.23,30.0,2.15
38.47,-77.5,200.77,2254.32,0.23,29.42,1.33
39.8,-78.79,200.71,2264.0,0.23,28.33,1.67
38.91,-78.56,200.63,2277.32,0.23,27.25,0.27
37.87,-76.75,200.48,2295.2,0.23,24.54,0.26
38.91,-76.05,200.44,2301.52,0.23,23.53,1.76
40.11,-75.32,200.37,2309.4,0.23,22.61,3.79
43.25,-73.3,200.23,2330.36,0.23,20.87,1.15
46.41,-70.02,200.13,2350.52,0.23,19.4,1.39
51.66,-68.46,200.16,2343.16,0.23,19.01,2.08
58.36,-68.7,200.25,2311.5,0.24,19.01,3.51
61.04,-69.42,200.29,2303.9,0.24,19.1,2.94
61.19,-70.21,200.32,2298.1,0.24,19.19,1.64
55.84,-71.86,200.33,2288.02,0.24,19.51,1.52
51.83,-72.99,200.33,2278.5,0.24,19.95,1.31
47.23,-73.35,200.31,2272.9,0.24,20.24,2.17
36.45,-72.96,200.16,2277.0,0.22,20.72,2.21
38.1,-70.02,200.2,2307.96,0.22,20.34,2.76
42.0,-66.74,200.27,2320.38,0.22,20.17,1.88
48.27,-63.91,200.38,2301.6,0.23,19.53,0.79
49.9,-67.28,200.32,2292.78,0.23,18.99,0.8
60.89,-60.8,200.54,2377.94,0.22,15.05,0.64
68.02,-57.72,200.66,2381.06,0.22,13.77,1.66
70.4,-56.24,200.77,2378.28,0.22,13.48,1.17
89.41,-55.63,200.79,2360.38,0.22,13.0,1.13
85.4,-54.97,200.85,2357.0,0.23,12.18,1.31
77.38,-49.54,200.81,2378.76,0.24,10.72,1.13
82.13,-47.68,200.78,2391.5,0.25,9.71,1.68
82.72,-46.7,200.77,2398.94,0.24,9.45,0.76
80.79,-48.08,201.11,2375.04,0.24,8.69,0.64
78.27,-49.47,201.15,2360.72,0.23,8.38,0.57
84.21,-45.77,201.22,2344.36,0.24,8.0,0.72
93.75,-45.62,201.3,2346.26,0.25,7.71,0.62
88.96,-45.22,201.25,2347.2,0.26,8.02,0.65
88.96,-44.25,201.23,2362.78,0.25,8.12,0.57
85.4,-43.63,201.29,2392.82,0.25,8.18,0.54
94.5,-43.19,202.49,2331.98,0.25,7.23,4.32
91.8,-44.48,202.6,2330.54,0.25,7.64,6.4
83.17,-52.14,202.84,2323.86,0.25,9.82,1.17
72.18,-55.38,202.92,2327.28,0.25,10.7,3.44
66.68,-56.37,203.04,2332.4,0.25,11.02,4.73
59.85,-55.61,203.44,2348.56,0.24,11.13,4.77
61.04,-52.18,203.75,2358.42,0.24,10.52,5.91
84.36,-42.15,203.75,2368.0,0.26,6.16,0.61
90.6,-39.32,203.7,2425.8,0.29,2.57,9.98
74.1,-10.2,187.62,2510.4,0.31,12.07,0.17
73.95,-12.6,189.11,2559.41,0.32,14.08,0.49
76.5,-16.8,189.6,2520.79,0.36,14.01,0.52
66.0,-21.39,188.12,2476.14,0.37,13.76,0.43
54.0,-23.86,186.88,2489.05,0.3,15.73,1.72
79.05,-18.2,186.44,2468.03,0.31,12.71,0.63
