GR,SP,CALX,RHOB,NPSS,ILD,ILM,SFL,Binned_FZI_PS
57.12,-57.13,201.0,2435.58,0.36,8.5,9.19,10.6,2
62.24,-55.64,201.75,2433.63,0.38,7.96,8.11,8.92,2
59.88,-54.46,205.25,2409.81,0.34,7.36,7.5,9.73,3
68.94,-51.78,211.27,2441.66,0.38,5.78,5.89,6.44,2
36.2,15.71,212.72,2404.23,0.26,4.56,4.7,5.99,3
35.24,13.2,210.02,2408.78,0.26,4.84,4.93,6.32,2
38.21,6.53,205.44,2388.33,0.27,5.65,5.54,6.42,3
45.95,-3.84,203.8,2348.36,0.3,6.0,6.31,6.93,3
46.43,-8.45,204.1,2330.47,0.3,6.23,6.69,7.26,2
47.15,-13.02,204.43,2316.94,0.29,6.66,7.05,7.55,3
49.68,-20.04,204.43,2347.25,0.29,7.39,7.43,7.9,2
54.1,-14.33,203.98,2375.1,0.29,7.77,7.7,8.06,2
59.86,-16.69,202.57,2382.97,0.26,8.3,8.14,8.6,2
62.18,-24.62,200.82,2382.25,0.25,8.96,8.82,9.96,2
62.16,-27.13,199.87,2358.49,0.27,9.47,9.31,10.99,3
60.51,-25.96,200.19,2358.9,0.28,9.83,9.53,11.11,3
58.58,-17.46,202.62,2368.09,0.29,10.19,9.81,10.5,4
56.81,-8.73,205.39,2353.41,0.3,10.83,11.47,12.0,2
52.94,-2.91,205.8,2327.26,0.29,11.67,14.04,14.61,4
36.12,-14.97,196.88,2252.93,0.27,16.16,21.22,20.73,3
35.66,-14.12,197.15,2254.82,0.27,14.64,19.35,19.37,4
35.7,-12.58,197.37,2256.77,0.27,13.61,16.79,16.48,3
59.85,-39.3,194.75,2366.44,0.33,3.48,3.55,3.51,2
59.1,-40.4,194.75,2375.44,0.33,3.85,3.93,4.68,2
64.16,-42.63,202.97,2348.77,0.35,4.47,4.55,3.73,2
58.35,-47.37,199.66,2405.09,0.35,5.38,5.48,5.02,2
52.8,-48.08,199.59,2394.16,0.33,5.97,6.09,7.47,2
62.95,-52.28,202.75,2401.42,0.35,7.54,7.68,5.84,2
62.33,-59.01,201.75,2408.29,0.35,8.35,8.59,7.96,2
62.59,-64.75,203.5,2401.61,0.34,10.05,10.23,9.21,2
67.35,-73.3,198.52,2338.61,0.32,13.29,13.54,12.24,2
55.1,-88.32,196.04,2304.29,0.3,15.4,15.12,21.73,2
54.94,-73.8,197.28,2348.81,0.31,15.91,14.51,11.91,2
51.64,-77.0,197.53,2364.83,0.28,15.93,14.86,16.15,4
48.47,-77.4,197.53,2351.73,0.25,16.31,16.69,24.59,2
35.12,-79.2,198.25,2216.98,0.3,20.09,20.37,19.36,2
101.06,-52.6,197.75,2350.56,0.33,9.13,9.26,8.04,3
101.82,-53.4,197.25,2349.36,0.34,8.18,8.15,8.04,2
91.67,-55.3,194.75,2352.11,0.34,8.04,7.4,8.22,2
